SquareFeet,SalePrice
"1,710",208500
"1,262",181500
"1,786",223500
"1,717",140000
"2,198",250000
"1,362",143000
"1,694",307000
"2,090",200000
"1,774",129900
"1,077",118000
"1,040",129500
"2,324",345000
912,144000
"1,494",279500
"1,253",157000
854,132000
"1,004",149000
"1,296",90000
"1,114",159000
"1,339",139000
"2,376",325300
"1,108",139400
"1,795",230000
"1,060",129900
"1,060",154000
"1,600",256300
900,134800
"1,704",306000
"1,600",207500
520,68500
"1,317",40000
"1,228",149350
"1,234",179900
"1,700",165500
"1,561",277500
"2,452",309000
"1,097",145000
"1,297",153000
"1,057",109000
"1,152",82000
"1,324",160000
"1,328",170000
884,144000
938,130250
"1,150",141000
"1,752",319900
"2,149",239686
"1,656",249700
"1,452",113000
955,127000
"1,470",177000
"1,176",114500
816,110000
"1,842",385000
"1,360",130000
"1,425",180500
"1,739",172500
"1,720",196500
"2,945",438780
780,124900
"1,158",158000
"1,111",101000
"1,370",202500
"1,710",140000
"2,034",219500
"2,473",317000
"2,207",180000
"1,479",226000
747,80000
"2,287",225000
"2,223",244000
845,129500
"1,718",185000
"1,086",144900
"1,605",107400
988,91000
952,135750
"1,285",127000
"1,768",136500
"1,230",110000
"2,142",193500
"1,337",153500
"1,563",245000
"1,065",126500
"1,474",168500
"2,417",260000
"1,560",174000
"1,224",164500
"1,526",85000
990,123600
"1,040",109900
"1,235",98600
964,163500
"2,291",133900
"1,786",204750
"1,470",185000
"1,588",214000
960,94750
835,83000
"1,225",128950
"1,610",205000
"1,732",178000
"1,535",118964
"1,226",198900
"1,818",169500
"1,992",250000
"1,047",100000
789,115000
"1,517",115000
"1,844",190000
"1,855",136900
"1,430",180000
"2,696",383970
"2,259",217000
"2,320",259500
"1,458",176000
"1,092",139000
"1,125",155000
"3,222",320000
"1,456",163990
988,180000
"1,123",100000
"1,080",136000
"1,199",153900
"1,586",181000
754,84500
958,128000
840,87000
"1,348",155000
"1,053",150000
"2,157",226000
"2,054",244000
"1,327",150750
"1,296",220000
"1,721",180000
"1,682",174000
"1,214",143000
"1,959",171000
"1,852",230000
"1,764",231500
864,115000
"1,734",260000
"1,385",166000
"1,501",204000
"1,728",125000
"1,709",130000
875,105000
"2,035",222500
"1,080",141000
"1,344",115000
969,122000
"1,710",372402
"1,993",190000
"1,252",235000
"1,200",125000
"1,096",79000
"1,040",109500
"1,968",269500
"1,947",254900
"2,462",320000
"1,232",162500
"2,668",412500
"1,541",220000
882,103200
"1,616",152000
"1,355",127500
"1,867",190000
"2,161",325624
"1,720",183500
"1,707",228000
"1,382",128500
"1,656",215000
"1,767",239000
"1,362",163000
"1,651",184000
"2,158",243000
"2,060",211000
"1,920",172500
"2,234",501837
968,100000
"1,525",177000
"1,802",200100
"1,340",120000
"2,082",200000
"1,252",127000
"3,608",475000
"1,217",173000
"1,656",135000
"1,224",153337
"1,593",286000
"2,727",315000
"1,479",184000
"1,431",192000
"1,709",130000
864,127000
"1,456",148500
"1,726",311872
"3,112",235000
"2,229",104000
"1,713",274900
"1,121",140000
"1,279",171500
"1,310",112000
848,149000
"1,284",110000
"1,442",180500
"1,696",143900
"1,100",141000
"2,062",277000
"1,092",145000
864,98000
"1,212",186000
"1,852",252678
990,156000
"1,392",161750
"1,236",134450
"1,436",210000
"1,328",107000
"1,954",311500
"1,248",167240
"1,498",204900
"2,267",200000
"1,552",179900
864,97000
"2,392",386250
"1,302",112000
